,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
181,181.0,Burundi,42,0.0,1.0,0.0,20.0,21.0,0.0,4.0,0.08,284.0,24.0,11851274.0
182,182.0,Saint Martin,40,0.0,3.0,0.0,33.0,4.0,1.0,1036.0,78.0,553.0,14328.0,38597.0
183,183.0,Eritrea,39,0.0,0.0,0.0,39.0,0.0,0.0,11.0,0.0,0.0,0.0,3541383.0
184,184.0,Botswana,35,5.0,1.0,0.0,19.0,15.0,0.0,15.0,0.4,16100.0,6861.0,2346588.0
185,185.0,Antigua and Barbuda,25,0.0,3.0,0.0,19.0,3.0,1.0,255.0,31.0,183.0,1870.0,97848.0
186,186.0,Gambia,25,0.0,1.0,0.0,13.0,11.0,0.0,10.0,0.4,1476.0,613.0,2409159.0
187,187.0,Bhutan,24,0.0,0.0,0.0,6.0,18.0,0.0,31.0,0.0,15293.0,19842.0,770749.0
188,188.0,Timor-Leste,24,0.0,0.0,0.0,24.0,0.0,0.0,18.0,0.0,738.0,561.0,1315796.0
189,189.0,Grenada,22,0.0,0.0,0.0,17.0,5.0,4.0,196.0,0.0,3007.0,26736.0,112472.0
190,190.0,Namibia,21,1.0,0.0,0.0,14.0,7.0,0.0,8.0,0.0,3027.0,1194.0,2536074.0
191,191.0,Laos,19,0.0,0.0,0.0,14.0,5.0,0.0,3.0,0.0,5487.0,755.0,7264685.0
192,192.0,Belize,18,0.0,2.0,0.0,16.0,0.0,0.0,45.0,5.0,1435.0,3616.0,396870.0
193,193.0,Fiji,18,0.0,0.0,0.0,15.0,3.0,0.0,20.0,0.0,1300.0,1451.0,895801.0
194,194.0,New Caledonia,18,0.0,0.0,0.0,18.0,0.0,0.0,63.0,0.0,5454.0,19122.0,285223.0
195,195.0,Saint Lucia,18,0.0,0.0,0.0,18.0,0.0,0.0,98.0,0.0,898.0,4893.0,183545.0
196,196.0,St. Vincent Grenadines,18,0.0,0.0,0.0,14.0,4.0,0.0,162.0,0.0,209.0,1884.0,110906.0
197,197.0,Curaçao,17,0.0,1.0,0.0,14.0,2.0,0.0,104.0,6.0,504.0,3073.0,164028.0
198,198.0,Dominica,16,0.0,0.0,0.0,16.0,0.0,0.0,222.0,0.0,433.0,6016.0,71969.0
199,199.0,Saint Kitts and Nevis,15,0.0,0.0,0.0,15.0,0.0,0.0,282.0,0.0,391.0,7355.0,53162.0
200,200.0,Falkland Islands,13,0.0,0.0,0.0,13.0,0.0,0.0,3747.0,0.0,445.0,128279.0,3469.0
201,201.0,Turks and Caicos,12,0.0,1.0,0.0,10.0,1.0,0.0,310.0,26.0,126.0,3259.0,38663.0
202,202.0,Greenland,12,1.0,0.0,0.0,11.0,1.0,0.0,211.0,0.0,1885.0,33209.0,56761.0
203,203.0,Vatican City,12,0.0,0.0,0.0,2.0,10.0,0.0,14981.0,0.0,0.0,0.0,801.0
204,204.0,Montserrat,11,0.0,1.0,0.0,10.0,0.0,0.0,2204.0,200.0,36.0,7212.0,4992.0
205,205.0,Suriname,11,0.0,1.0,0.0,9.0,1.0,0.0,19.0,2.0,488.0,833.0,586106.0
206,206.0,Seychelles,11,0.0,0.0,0.0,11.0,0.0,0.0,112.0,0.0,0.0,0.0,98287.0
207,207.0,MS Zaandam,9,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
208,208.0,Western Sahara,9,3.0,0.0,0.0,6.0,3.0,0.0,15.0,0.0,0.0,0.0,595744.0
209,209.0,British Virgin Islands,8,0.0,1.0,0.0,6.0,1.0,0.0,265.0,33.0,167.0,5528.0,30211.0
210,210.0,Papua New Guinea,8,0.0,0.0,0.0,8.0,0.0,0.0,0.9,0.0,2402.0,269.0,8929153.0
211,211.0,Caribbean Netherlands,6,0.0,0.0,0.0,6.0,0.0,0.0,229.0,0.0,424.0,16184.0,26199.0
